Date,Value
2017-12-31,204.837363
2017-11-30,204.66262614
2017-10-31,204.58008309
2017-09-30,203.490526
2017-08-31,203.50633641
2017-07-31,202.98953767
2017-06-30,202.00681223
2017-05-31,200.11591135
2017-04-30,197.11875107
2017-03-31,193.71446775
2017-02-28,190.77599287
2017-01-31,188.9069036
2016-12-31,188.27004159
2016-11-30,188.19411928
2016-10-31,188.32217307
2016-09-30,188.59864847
2016-08-31,188.68415226
2016-07-31,188.43600079
2016-06-30,187.45345722
2016-05-31,185.24391009
2016-04-30,181.73830304
2016-03-31,177.94041891
2016-02-29,175.33004359
2016-01-31,174.3328496
2015-12-31,174.20210693
2015-11-30,174.17027814
2015-10-31,174.12397891
2015-09-30,174.1630036
2015-08-31,174.12331291
2015-07-31,173.54228228
2015-06-30,172.06543161
2015-05-31,169.70931777
2015-04-30,166.90028545
2015-03-31,164.42209633
2015-02-28,162.83980067
2015-01-31,162.45845301
2014-12-31,162.96832359
2014-11-30,163.51859511
2014-10-31,163.62738253
2014-09-30,163.94632091
2014-08-31,164.80619561
2014-07-31,165.19210573
2014-06-30,164.44241361
2014-05-31,163.14903719
2014-04-30,161.95932793
2014-03-31,160.60353467
2014-02-28,159.0460454
2014-01-31,158.13526636
2013-12-31,158.44012877
2013-11-30,159.68583633
2013-10-31,161.24569917
2013-09-30,162.38301036
2013-08-31,162.99624304
2013-07-31,162.81000168
2013-06-30,161.43254404
2013-05-31,159.4827668
2013-04-30,156.95191121
2013-03-31,153.83380342
2013-02-28,151.26234564
2013-01-31,150.10124856
2012-12-31,150.0829732
2012-11-30,150.61589559
2012-10-31,151.237567
2012-09-30,151.51023537
2012-08-31,151.38189876
2012-07-31,151.05423992
2012-06-30,150.30906978
2012-05-31,148.8816877
2012-04-30,146.80075459
2012-03-31,144.68297074
2012-02-29,143.64237553
2012-01-31,144.02896959
2011-12-31,145.39635835
2011-11-30,146.90618461
2011-10-31,148.11052322
2011-09-30,149.37237413
2011-08-31,150.51187181
2011-07-31,150.58662437
2011-06-30,149.56256169
2011-05-31,148.41102447
2011-04-30,147.47597325
2011-03-31,146.55434689
2011-02-28,146.01224191
2011-01-31,146.54452096
2010-12-31,148.05488262
2010-11-30,149.81956504
2010-10-31,151.3647818
2010-09-30,152.68621777
2010-08-31,153.98776737
2010-07-31,155.41352703
2010-06-30,156.7595979
2010-05-31,157.27091088
2010-04-30,156.31252749
2010-03-31,154.45820923
2010-02-28,153.05710833
2010-01-31,152.76568996
2009-12-31,153.57597863
2009-11-30,155.12753812
2009-10-31,156.64660914
2009-09-30,157.55751806
2009-08-31,157.88960255
2009-07-31,157.70877923
2009-06-30,156.91128298
2009-05-31,156.18680237
2009-04-30,156.14795913
2009-03-31,156.41679346
2009-02-28,156.54621914
2009-01-31,156.54794736
2008-12-31,157.11758866
2008-11-30,158.88061483
2008-10-31,161.42418553
2008-09-30,163.87804599
2008-08-31,165.6487499
2008-07-31,166.58571616
2008-06-30,166.67649653
2008-05-31,166.01047814
2008-04-30,165.05271875
2008-03-31,163.99744516
2008-02-29,163.05363011
2008-01-31,162.89810518
2007-12-31,163.56914787
2007-11-30,164.66150807
2007-10-31,165.75768793
2007-09-30,166.60698638
2007-08-31,167.39088407
2007-07-31,167.92012928
2007-06-30,167.559818
2007-05-31,166.34939268
2007-04-30,164.57673144
2007-03-31,162.39073627
2007-02-28,160.2730288
2007-01-31,158.69160007
2006-12-31,157.91129917
2006-11-30,157.90976987
2006-10-31,158.2310697
2006-09-30,158.41361625
2006-08-31,158.17796955
2006-07-31,156.98370231
2006-06-30,154.85497594
2006-05-31,152.43359352
2006-04-30,149.99879553
2006-03-31,147.57255701
2006-02-28,145.46193567
2006-01-31,143.90667008
2005-12-31,142.87827438
